ACCEPT	Kabul Et.
DESTROY	Sil
ATTACH_METIN_INFO	Ruh Taþý'ný eklemek istiyor musun?
ATTACH_METIN_TITLE	Ruh Taþý'ný ekle
CANCEL	iptal
CHANGE_PASSWORD_CONFIRM	Yeni þifreyi tekrarla
CHANGE_PASSWORD_NEW	Yeni þifre
CHANGE_PASSWORD_OLD	Eski þifre
CHANGE_PASSWORD_TITLE	Þifre Deðiþtir
CHARACTER_ACTION	Duygu
CHARACTER_EMOTICON	Duygu
CHARACTER_MAIN	Karakter
CHARACTER_MUTUAL_ACTION	Ortak Hareket
CHARACTER_NORMAL_ACTION	Normal Hareket
CHARACTER_QUEST	Görevler
CHARACTER_SKILL	Beceri
CLOSE	Kapat
COSTUME_TITLE	Kostümler
COSTUME_WINDOW_TITLE	Kostümler
CREATE_ATT_GRADE	STR
CREATE_CREATE	Oluþtur
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puan
CREATE_MAN	Erkek
CREATE_NAME	Isim
CREATE_NEXT	Sonraki
CREATE_PREV	Önceki
CREATE_SEX	Cinsiyet
CREATE_SHAPE	Biçim
CREATE_SP	Zeka
CREATE_STAT_RESET	Sýfýrla
CREATE_WOMAN	Kadýn
CUBE_INFO_TITLE	Arýndýrma Kýlavuzu
CUBE_REQUIRE_MATERIAL	Gerekli malzemeler:
CUBE_REQUIRE_MATERIAL_OR	veya
CUBE_TITLE	Arýndýrma Paneli
DO_REFINE	Arýndýr
DO_FAST_REFINE	Hýzlý Arýndýr
DS_EPIC_WARNING	Destansý simyalarda hýzlý arýndýrma yapamazsýn!
DS_MYTH_WARNING	Mitsi simyalarda hýzlý arýndýrma yapamazsýn!
DS_LEGENDARY_WARNING	Efsanevi simyalarda hýzlý arýndýrma yapamazsýn!
DRAGONSOUL_REFINE	Arýndýrma
DRAGONSOUL_ACTIVATE	Etkinleþtir
DRAGONSOUL_PAGE_BUTTON_1	Ýþlenmemiþ
DRAGONSOUL_PAGE_BUTTON_2	Yontulmuþ
DRAGONSOUL_PAGE_BUTTON_3	Ender
DRAGONSOUL_PAGE_BUTTON_4	Antika
DRAGONSOUL_PAGE_BUTTON_5	Efsanevi
DRAGONSOUL_PAGE_BUTTON_6	Mitsi
DRAGONSOUL_PAGE_BUTTON_7	Destansý
DRAGONSOUL_REFINE_WINDOW_TITLE	Arýndýrma Paneli
DRAGONSOUL_TAP_TITLE_1	Ejderha Elmasý
DRAGONSOUL_TAP_TITLE_2	Ejderha Yakutu
DRAGONSOUL_TAP_TITLE_3	Ejderha Yeþimi
