Vnum	Name	Rank	Type	BattleType	Level	Size	AiFlags	MountCapacity	RaceFlags	ImmuneFlags	Empire	Folder	OnClick	St	Dx	Ht	Iq	MinDamage	MaxDamage	MaxHp	RegenCycle	RegenPercent	MinGold	MaxGold	Exp	Def	AttackSpeed	MoveSpeed	AggressiveHpPct	AggressiveSight	AttackRange	DropItemGroup	ResurrectionVnum	EnchantCurse	EnchantSlow	EnchantPoison	EnchantStun	EnchantCritical	EnchantPenetrate	ResistSword	ResistTwoHanded	ResistDagger	ResistBell	ResistFan	ResistBow	ResistFire	ResistElect	ResistMagic	ResistWind	ResistPoison	DamMultiply	SummonVnum	DrainSp	MobColor	PolymorphItem	SkillLevel0	SkillVnum0	SkillLevel1	SkillVnum1	SkillLevel2	SkillVnum2	SkillLevel3	SkillVnum3	SkillLevel4	SkillVnum4	SpBerserk	SpStoneskin	SpGodspeed	SpDeathblow	SpRevive			
101	??	PAWN	MONSTER	MELEE	1			0	ANIMAL		0	stray_dog	0	3	6	5	2	10	12	126	6	7	0	1407	72	4	100	100	0	2000	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
102	??	PAWN	MONSTER	MELEE	3			0	ANIMAL		0	wolf	0	4	9	7	2	12	14	162	6	7	0	1421	180	6	100	100	25	2000	50	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
103	????	PAWN	MONSTER	MELEE	4			0	ANIMAL		0	wolf	0	8	5	10	3	13	15	182	6	7	0	1425	234	7	100	130	25	2000	50	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
104	????	PAWN	MONSTER	MELEE	6			0	ANIMAL		0	wolf	0	9	12	6	3	13	19	225	6	7	0	1439	342	9	100	100	25	2000	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
105	?? ????	PAWN	MONSTER	MELEE	9			0	ANIMAL		0	wolf	0	14	8	16	4	17	21	297	6	7	0	1458	504	13	80	100	25	2000	50	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
106	????	PAWN	MONSTER	MELEE	13			0	ANIMAL		0	wolf	0	21	21	10	5	20	25	412	6	7	0	1485	720	17	100	100	25	2000	50	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
107	?? ????	S_PAWN	MONSTER	MELEE	16			0	ANIMAL		0	wolf	0	23	24	12	6	23	28	614	6	12	0	1574	1062	20	80	130	25	2000	50	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
108	???	PAWN	MONSTER	MELEE	7			0	ANIMAL		0	wild_boar	0	14	7	10	3	15	19	248	6	7	0	1445	396	11	80	100	30	2000	50	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
109	?? ???	S_PAWN	MONSTER	MELEE	10			0	ANIMAL		0	wild_boar	0	22	9	13	4	18	22	389	3	7	0	1508	666	14	80	100	30	2000	50	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
110	?	PAWN	MONSTER	POWER	12			0	ANIMAL		0	bear	0	20	10	20	5	20	24	381	6	7	0	1476	666	16	100	70	40	2000	50	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
111	???	S_PAWN	MONSTER	TANKER	15			0	ANIMAL		0	bear	0	14	17	34	6	22	27	572	6	7	0	1562	990	19	100	100	40	2000	50	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
112	???	PAWN	MONSTER	POWER	19			0	ANIMAL		0	bear	0	36	14	21	7	25	31	624	6	7	0	1521	1746	24	100	100	40	2000	50	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
113	??	S_PAWN	MONSTER	POWER	21			0	ANIMAL		0	bear	0	35	15	23	8	27	33	845	6	12	0	1625	2304	26	100	100	40	2000	50	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
114	???	PAWN	MONSTER	POWER	18			0	ANIMAL		0	tiger	0	18	20	27	7	25	30	585	6	12	0	1517	1656	22	100	100	50	2000	50	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
115	??	S_PAWN	MONSTER	POWER	24		AGGR	0	ANIMAL		0	tiger	0	25	17	45	9	30	36	1007	10	22	0	1659	2628	29	100	130	50	2000	50	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
131	???? ??	KNIGHT	MONSTER	MELEE	8		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	31	8	16	20	435	6	7	0	1520	900	12	100	120	100	2000	50	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
132	???? ????	S_KNIGHT	MONSTER	MELEE	9		AGGR	0	wANIMAL	CURSE	0	wolf	0	23	24	31	8	17	21	743	6	7	0	1574	1998	13	100	120	100	2000	50	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
133	???? ????	KNIGHT	MONSTER	MELEE	11		AGGR	0	ANIMAL	CURSE	0	wolf	0	16	16	32	8	19	23	564	6	7	0	1565	1224	15	100	120	100	2000	50	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
134	???? ?? ????	S_KNIGHT	MONSTER	MELEE	14		AGGR	0	ANIMAL	CURSE	0	wolf	0	24	33	32	8	21	26	1110	6	7	0	1668	3078	18	100	120	100	2000	50	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
