VNUM	LOCALE_NAME
101	Yabani Köpek
102	Kurt
103	Alfa Kurt
104	Mavi Kurt
105	Alfa Mavi Kurt
106	Gri Kurt
107	Alfa Gri Kurt
108	Yaban Domuzu
109	Kýrmýzý Yaban Domuzu
110	Ayý
111	Boz Ayý
112	Siyah Ayý
113	Kahverengi Ayý
114	Kaplan
115	Beyaz Kaplan
131	Lanetli Kurt
132	Lanetli Alfa Kurt
133	Lanetli Mavi Kurt
134	Lanetli Alfa Mavi Kurt
135	Lanetli Gri Kurt
136	Lanetli Alfa Gri Kurt
137	Lanetli Yaban Domuzu
138	Lan.Kýrmýzý Yaban Domuzu
139	Lanetli Ayý
140	Lanetli Gri Ayý
141	Lanetli Siyah Ayý
142	Lanetli Kahverengi Ayý
143	Lanetli Kaplan
144	Lanetli Beyaz Kaplan
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Aç Yabani Köpek
172	Aç Kurt
173	Aç Alfa Kurt
174	Aç Mavi Kurt
175	Aç Alfa Mavi Kurt
176	Aç Gri Kurt
177	Aç Alfa Gri Kurt
178	Aç Yaban Domuzu
179	Aç Kýrmýzý Yaban Domuzu
180	Aç Ayý
181	Aç Boz Ayý
182	Aç Siyah Ayý
183	Aç Kahverengi Ayý
184	Aç Kaplan
185	Aç Beyaz Kaplan
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Beyaz Yeminli Asker
302	Beyaz Yeminli Okçu
303	Beyaz Yeminli General
304	Beyaz Yeminli Komutan
331	Beyaz Yeminli Asker
332	Beyaz Yeminli Okçu
333	Beyaz Yeminli General
334	Beyaz Yeminli Komutan
351	Korkak Beyaz Yeminli Ask
352	Korkak Beyaz Yeminli Okç
353	Korkak Beyaz Yeminli Gen
354	Korkak Beyaz Yeminli Kom
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Moralsiz Mi-Jung
396	Moralsiz Eun-Jung
397	Moralsiz Se-Rang
398	Moralsiz Jin-Hee
401	Siyah Rüzgar Askeri
402	Siyah Rüzgar Delisi
403	Siyah Rüzgar Okçusu
404	Siyah Rüzgar Jak-To
405	Siyah Rüzgar To-Su
406	Siyah Rüzgar Gu-Ryung
431	Siyah Fyrtyna Askeri
432	Siyah Fyrtyna Delisi
433	Siyah Fyrtyna Okçusu
434	Siyah Fyrtyna Joh-Hwan
435	Siyah Fyrtyna Kyuk-Jan
436	Siyah Fyrtyna Pho-Hwan
451	Kötü Siy. Fyrtyna Askeri
452	Kötü Siy. Fyrtyna Delisi
453	Kötü Siy.Fyrtyna Okçusu
454	KötüSiy.Fyrtyna Joh-Hwan
455	KötüSiy.Fyrtyna Kyuk-Jan
456	KötüSiy.Fyrtyna Pha-Hwan
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Yabani Piyade
502	Yabani Uþak
503	Yabani Okçu
504	Yabani General
531	Vahþi Asker
532	Vahþi Deli
533	Vahþi Okçu
534	Vahþi Uzman
551	Güçlü Yabani Asker
552	Güçlü Yabani Deli
553	Güçlü Yabani Okçu
554	Güçlü Yabani General
591	Vahþi Yüzbaþý
595	Vahþi Geum-Chul
601	Ork
602	Ork Gözcüsü
603	Ork Savaþçýsý
604	Ork Büyücüsü
631	Elit Ork
632	Elit Ork Gözcüsü
633	Elit Ork Savaþçýsý
634	Elit Ork Büyücüsü
635	Elit Ork Generali
636	Siyah Ork
637	Siyah Ork Devi
651	Cesur Büyük Ork
652	Cesur Büyük Ork Gözcüsü
653	Cesur Büyük OrkSavaþçýsý
654	Cesur Büyük Ork Büyücüsü
655	Cesur Büyük Ork Generali
656	Cesur Siyah Ork
657	Cesur Siyah Ork Devi
691	Ork Reisi
692	Elit Ork Reisi
693	Dirilmiþ Ork Reisi
701	Karanlýk Fanatik
702	Karanlýk Arahan
703	Mistik Arahan Savaþçýsý
704	Mistik Arahan Reisi
705	Mistik Cellat
706	Karanlýk Ýþkenceci
707	Karanlýk Haberci
731	Kibirli Karanlýk Fanatik
732	Kibirli Karanlýk Arahan
733	Kibirli Karanlýk Savaþçý
734	Kibirli Karanlýk Albay
735	Kibirli Karanlýk Niþancý
736	Elit Mistik Ýþkenceci
737	Elit Mistik Haberci
751	Büyük Fanatik
752	Büyük Arahan
753	Büyük Arahan Savaþçýsý
754	Büyük Elit Arahan
755	Büyük Cellat
756	Büyük Ýþkenceci
757	Büyük Haberci
771	Vahþi Fanatik
772	Vahþi Arahan
773	Vahþi Arahan Savaþçýsý
774	Vahþi Arahan Reisi
775	Vahþi Cellat
776	Vahþi Ýþkenceci
777	Vahþi Haberci
791	Karanlýk Lider
792	Karanlýk Hayalet Lider
793	Elit Karanlýk Lider
794	Elit Karan.Hayalet Lider
795	Elit Savaþçý
796	Elit Mistik Savaþçý
901	Zombi
902	Hastalýklý Köpek
903	Hastalýklý Adam
904	Hast. Kýlýç Savaþçýsý
905	Hastalýklý Mýzrakçý
906	Hastalýklý Okçu
907	Hastalýklý Lider
931	Kýzgýn Zombi
932	Kýzgýn Hastalýklý Köpek
933	Kýzgýn Hastalýklý Adam
934	Kýzg.Hast.KýlýçSavaþçýsý
935	Kýzgýn Hastal. Mýzrakçý
936	Kýzgýn Hastalýklý Okçu
937	Kýzgýn Hastalýklý Lider
991	Hastalýklý Yumurta
992	Hastalýk Taþýyýcýsý
993	Dev Hastalýk Taþýyýcýsý
1001	Þeytan Askeri
1002	Þeytan Okçusu
1003	Þeytan Mýzrakçýsý
1004	Þeytan Þamaný
1031	Çirkin Þeytan Askeri
1032	Çirkin Þeytan Okçusu
1033	Çirkin Þeytan Mýzrakçýsý
1034	Çirkin Þeytan Þamaný
1035	Hýnç Hayaleti
1036	Kaos Hayaleti
1037	Çirkin Þeytan Lideri
1038	Kafatasý Kýlýç Ustasý
1039	Uçan Kafatasý
1040	Ölümsüz Hayalet
1041	Þeytani Canavar
1061	Ölümcül Þeytan Askeri
1062	Ölümcül Þeytan Okçusu
1063	Ölümcül Þeytan Mýzrakçýsý
1064	Ölümcül Þeytan Þamaný
1065	Ölümcül Hýnç Hayaleti
1066	Ölümcül Kaos Hayaleti
1067	Ölümcül Þeytan Lideri
1068	Hayalet Kýlýç Ustasý
1069	Ölümcül Uçan Kafatasý
1070	Ölümsüz Hayalet
1071	Þeytani Canavar
1091	Þeytan Kralý
1092	Kibirli Þeytan Kralý
1093	Lusifer
1094	Elit Çirkin Þeytan Kralý
1095	Mavi Ölüm
1096	????
1101	Büyülü Buz
1102	Buz Katil Balinasý
1103	Buz Böceði
1104	Buz Arslaný
1105	Buz Adam
1106	Yeti
1107	Buz Golemi
1131	Yeraltý Buz Parçasý
1132	Yeraltý BuzKatilBalinasý
1133	Yeraltý Buz Böceði
1134	Yeraltý Buz Aslaný
1135	Yeraltý Buz Adamý
1136	Yeraltý Yetisi
1137	Yeraltý Buz Golemi
1151	Buz Þeytaný
1152	Buz Boynuzlu Katil Balina
1153	Buz Haþeresi
1154	Seol-Gu
1155	Buz Adam
1156	Buz Devi
1157	Buz Golemi
1171	Acýmasýz Büyülü Buz
1172	Acýmasýz Buz Balina
1173	Acýmasýz Buz Böcek
1174	Acýmasýz Buz Arslan
1175	Acýmasýz Buz Adam
1176	Acýmasýz Yeti
1177	Acýmasýz Buz Golemi
1191	Buz Cadý
1192	Güçlü Buz Cadýsý
1301	Aðaç Kurbaðasý Askeri
1302	Aðaç Kurbaðasý Lideri
1303	Gulyabani
1304	Sarý Kaplan Hayaleti
1305	Kurbaða Generali
1306	Elit Sarý Kaplan Hayaleti
1307	Elit Sarý Kaplan Hayaleti
1308	NoNAme
1309	NoNAme
1310	NoNAme
1331	Büy.AðaçKurbaðasý Askeri
1332	Büy.AðaçKurbaðasý Lideri
1333	Büyük Gulyabani
1334	Büy.Sarý Kaplan Hayaleti
1335	Kötü Kurbaða Generali
1401	Yokedici
1402	Maymun Savaþçý
1403	Bin Savaþçý
1501	Taþ Golemi
1502	Kaya Golemi
1503	Dev Kaya Golemi
1601	Dev Savaþçý
1602	Dev Kasap
1603	Dev Çýlgýn
1901	Dokuz Kuyruk
1902	Elit Dokuz Kuyruk
1903	Elit Dokuz Kuyruk
1904	NoNAme
1905	NoNAme
1906	NoNAme
2001	Yavru Örümcek
2002	Zehirli Örümcek
2003	Kýrmýzý Zehirli Örümcek
2004	Pençe Örümceði
2005	Asker Örümcek
2031	Yavru Zehirli Örümcek
2032	Ölümcül Zehirli Örümcek
2033	Kýrm. Ölüm. Zeh. Örümcek
2034	Zehirli Pençe Örümceði
2035	Zehirli Asker Örümcek
2036	Kibirli Zehirli Asker Örümcek
2051	Huysuz Zehirli Yavru Örümcek
2052	Huysuz Ölümcül Zehirli Örümcek
2053	Huys.Kýrm.Öl.Zeh.Örümcek
2054	Huys.Zeh. Pençe Örümceði
2055	Huysuz Zehirli Asker Örümcek
2061	Küçük Zehirli Örümcek
2062	Öldürücü Zehirli Örümcek
2063	Kýrm. Ölüm. Zeh. Örümcek
2064	Zehirli Pençe Örümceði
2065	Zehirli Asker Örümcek
2071	Vahþi Yav. Zeh. Örümcek
2072	Vahþi Ölüm.Zeh. Örümcek
2073	Vahþi Kýrm. Zeh. Örümcek
2074	Vahþi Zeh.Pençe Örümceði
2075	Vahþi Zeh. Asker Örümcek
2076	Vahþi Güçlü Zeh. Örümcek
2091	Kraliçe Örümcek
2092	Örümcek Barones
2093	Elit Kraliçe Örümcek
2094	Örümcek Baronu
2095	Örümcek Yumurtasý
2101	Çöl Tilkisi
2102	Çölün Uçan Gözü
2103	Kral Akrep
2104	Akrep Adam
2105	Akrep Okçu
2106	Yýlan Kýlýççý
2107	Yýlan Okçu
2108	Çöl Haydutu
2131	Vahþi Akrep Adam
2132	Akrep Okçu
2133	Yýlan Kýlýççý
2134	Yýlan Okçu
2135	Çöl Haydutu
2151	Güçlü Çöl Tilkisi
2152	Güçlü Derviþ
2153	Güçlü Akrep Kral
2154	Güçlü Akrep Adam
2155	Güçlü Akrep Okçu
2156	Güçlü Yýlan Kýlýççý
2157	Güçlü Yýlan Okçu
2158	Güçlü Çöl Haydutu
2191	Dev Çöl Kaplumbaðasý
2192	Elit Dev ÇölKaplumbaðasý
2201	Savaþ Kaplaný Kölesi
2202	Alev Hayaleti
2203	Savaþ Kaplaný
2204	Alev
2205	Alev Savaþçý
2206	Alev Kral
2207	Elit Alev Kral
2231	GüçlüSavaþKaplaný Kölesi
2232	Güçlü Alev Hayaleti
2233	Güçlü Savaþ Kaplaný
2234	Güçlü Alev Hayaleti
2235	Güçlü Alev Savaþçýsý
2291	Kýrmýzý Ejderha
2301	Hayalet Aðaç
2302	Hayalet Aðaç Kökü
2303	Orman Perisi
2304	Hayalet Söðüt
2305	Kötü Aðaç
2306	Dev Hayalet Aðaç
2307	Hayalet Aðaç Lordu
2311	Kýrmýzý Hayalet Aðaç
2312	Kýrm.Hayalet Aðaç Kökü
2313	Kýrmýzý Orman Perisi
2314	Kýrmýzý Hayalet Söðüt
2315	Kýrmýzý Kötü Aðaç
2401	Setaou Savaþçýsý
2402	Setaou Avcýsý
2403	Setaou Mistik
2404	Setaou Lideri
2411	Setaou Askeri
2412	Setaou Okçusu
2413	Setaou Yargýcý
2414	Setaou Komutaný
2431	????
2432	????
2433	????
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Komutan
2492	General
2493	Beran-Setaou
2494	General
2495	General
2501	Cehennem Deniz Anasý
2502	Cehennem Köpeði
2503	Zombi
2504	Cehennem Subayý
2505	Cehennem Bekçisi
2506	Cehennem Okçusu
2507	Cehennem Kepçesi
2508	Cehennem Savaþçýsý
2509	Cehennem Okçusu
2510	Cehennem Mýzrakçýsý
2511	Cehennem Papazý
2512	Cehennem Binbaþý
2513	Cehennem Katliamcýsý
2514	Cehennem Generali
2541	Kötü Cehennem Savaþçýsý
2542	Kötü Cehennem Okçusu
2543	Kötü Cehennem Mýzrakçýsý
2544	Kötü Cehennem Papazý
2545	Kötü Cehennem Binbaþý
2546	Kötü Cehennem Katliamcýsý
2547	Kötü Cehennem Generali
2591	Tartarus
2592	Cehennem Kýrmasý
2593	Cehennem Kýrmasý
2594	Cehennem Kýrmasý
2595	Erebus
2596	Azrailin Tohumu
2597	Kharoon
2598	Azrail
3001	Gnoll Savaþçý
3002	Gnoll Okçu
3003	Gnoll Savunucu
3004	Gnoll Büyücü
3005	Gnoll General
3090	Lord Gnoll
3091	Aç Gnoll Nöbetçi
3101	Tek Gözlü Kavgacý
3102	Kiklop Asker
3103	Kiklop Büyücü
3104	Kiklop Cellat
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Mantikor Savaþçý
3202	Mantikor Asker
3203	Mantikor Büyücü
3204	Mantikor Cellat
3205	General Kor
3290	Rakshasa
3291	Martyaxwar
3301	Lemur Savaþçý
3302	Lemur Asker
3303	Lemur Büyücü
3304	Lemur Cellat
3305	Lemur General
3390	Lemur Prensi
3391	Lemur Muhafýz
3401	Triton Murana
3402	Köpekbalýðý Askeri
3403	Triton Büyücü
3404	Triton Avcý
3405	Triton Usturacý
3490	General Kappa
3491	Triton
3501	Kýzýlhýrsýz Amazon
3502	Kýzýlhýrsýz Katil
3503	Kýzýlhýrsýz Büyücü
3504	Kýzýlhýrsýz Cellat
3505	Siyah General
3551	Zalim Kýzýlhýrsýz Amazon
3552	Zalim Kýzýlhýrsýz Katil
3553	Zalim Kýzýlhýrsýz Büyücü
3554	Zalim Kýzýlhýrsýz Cellat
3555	Beyaz General
3590	Kemiksurat
3591	Kýzýl Reis
3595	Zalim Kemiksurat
3596	Zalim Kýzýl Reis
3601	Yengeç Savaþçý
3602	Akrep Savaþçý
3603	Karides Asker
3604	Þeytani Keþiþ
3605	Zýrhlý Yengeç
3690	General Istakoz
3691	Kral Yengeç
3701	Devasa Diþlek
3702	Dev Kasap
3703	Dev Büyücü
3704	Yarým Dünya
3705	Kaptan Kanca
3790	Gargoyle
3789	Kral Voba
3801	Cellatork
3802	Okçu Öcü
3803	Kavgacý Öcü
3804	Öcü Büyücü
3805	General Öcü
3890	Kaptan Þrak
3891	Dev Öcü
3901	Daladam
3902	Eoten
3903	Ruhlu Aðaç
3904	Kaptan Kanca
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Karnifeks
3909	General Albus
3910	Skeletos
3911	Aku Beku
3912	Arboretum
3913	Sekomor
5001	Korsan Tanaka
5002	Hae-Tae
5003	Maymun
5004	Korsan Tanaka
5101	Zayýf Maymun Asker
5102	Zayýf Maymun Atýcý
5103	Zayýf Maymun Savaþçý
5104	Zayýf Maymun General
5111	Maymun Asker
5112	Maymun Atýcý
5113	Maymun Savaþçý
5114	Maymun General
5115	Taþ Maymun
5116	Maymun Lider
5121	Güçlü Maymun Asker
5122	Güçlü Maymun Atýcý
5123	Güçlü Maymun Savaþçý
5124	Güçlü Maymun General
5125	Güçlü Taþ Maymun
5126	Güçlü Altýn Maymun
5127	Güçlü Maymun Lider
5131	Zeki Küçük Maymun Asker
5132	Zeki Küçük Maymun Atýcý
5133	Zeki Küçük MaymunSavaþçý
5134	Zeki Küçük Maymun General
5141	Zeki Maymun Asker
5142	Zeki Maymun Atýcý
5143	Zeki Maymun Savaþçý
5144	Zeki Maymun General
5145	Zeki Taþ Maymun
5146	Zeki Maymun Lider
5151	Kötü Güçlü Maymun Asker
5152	Kötü Güçlü Maymun Atýcý
5153	Kötü Güçlü MaymunSavaþçý
5154	Kötü Güçlü Maymun General
5155	Kötü Güçlü Taþ Maymun
5156	Kötü Güçlü Altýn Maymun
5157	Kötü Güçlü Maymun Lider
